2031;id;scenario;sensetivity;H2_price_2030;H2_price_2040;H2_premium_2030;H2_FP_2030;H2_SP_2030;H2_RP_2030;PtH_PROD_base_2030;PtH_PROD_peak_2030;SMRCCS_PROD_2030;IMPORT_2030;PtH_CAP_base_2030;PtH_CAP_peak_2030;SMRCCS_CAP_2030;EOM_price_2030;EOM_price_2040;WIND_CAP_2030;SOLAR_CAP_2030;GAS_CAP_2030;COAL_CAP_2030;NUCL_CAP_2030;WIND_PROD_2030;SOLAR_PROD_2030;GAS_PROD_2030;COAL_PROD_2030;NUCL_PROD_2030;ETS_price_2030;ETS_price_2040;PS_emmisions;H2S_emissions;IND_emissions;cumulative_emissions;DIFF_PROD;TOT_PROD;H2_PROD;D_CUM;Increase_elek;H2_PROD_Twh;ERROR;residential_demand;Demand_2030;Difference;PtH_base_H;PtH_peak;;;;
CT;36;22;low-natural-gas-price;1.98;2.2;0.000;0.000;0.000;2.090;3.3;5.3;6.1;6.8;22.7;82.3;33.5;83.8;102.9;52.4;8.0;-10.0;0.0;0.0;116.7;10.9;-29.4;0.0;16.4;174.3;411.0;-42.560;-1.590;44.150;0;114.7;3124.362;444.8480008;2679.514;-55.19422489;282.3910973;169.8974302;2679.513539;2490.450108;189.0634308;4779;2114;;;;
HT_3500;37;126;low-natural-gas-price;1.85;2.2;1.263;0.000;0.000;1.966;2.0;8.0;5.4;6.1;19.0;75.3;31.0;81.8;102.8;86.2;84.1;-16.7;0.0;0.0;173.2;92.6;-56.9;0.1;10.1;173.2;408.5;-91.933;6.092;85.833;0;219.1;3228.800;534.1935653;2694.607;34.15133962;330.0083091;184.990557;2694.606666;2490.450108;204.1565576;3500;3500;;;;
HT_3800;38;276;low-natural-gas-price;1.81;2.2;1.290;0.000;0.000;1.947;1.9;8.1;5.4;6.1;16.6;70.3;30.7;81.9;102.9;94.7;89.0;-14.6;0.0;0.0;175.0;95.4;-60.9;-0.4;3.0;173.0;407.9;-97.874;7.760;90.007;0;212.2;3221.829;535.0466383;2686.783;35.00441256;330.0141556;177.1666336;2686.782742;2490.450108;196.3326342;3800;3800;;;;
HT_4000;39;376;low-natural-gas-price;1.82;2.2;1.225;0.000;0.000;1.948;3.5;6.5;5.4;6.1;28.7;58.1;30.9;82.0;102.8;87.5;86.6;-16.3;0.0;0.0;162.3;92.3;-57.7;0.1;2.8;173.3;408.6;-88.320;6.890;81.438;0;199.7;3209.368;522.6850762;2686.683;22.64285053;329.986945;177.0664931;2686.682602;2490.450108;196.2324937;4000;3705;;;;
QT;40;76;low-natural-gas-price;1.77;2.2;1.211;0.000;0.000;1.921;5.7;4.3;5.4;6.1;38.7;45.5;31.1;82.3;102.8;83.0;80.1;-14.6;0.0;0.0;145.7;86.7;-54.7;-0.1;-0.1;173.4;409.0;-76.155;6.207;69.813;0;177.5;3187.139;505.2310965;2681.908;5.188870761;330.0052316;172.2915127;2681.907621;2490.450108;191.4575133;4860;3121;;;;
REF;41;1;Cheap-RES;2.56;2.4;0.000;0.000;0.000;2.638;3.5;6.0;1.3;10.5;23.0;56.7;7.1;85.5;105.0;1161.025;431.533;93.109;19.776;43.164;2061.753;478.715;148.518;5.503;313.456;171.5;404.5;3597.298;509.610;15158.899;19266;3007.9;3007.946;498.3405305;2509.606;-1.701695157;315.7356022;;2509.605929;2490.450108;19.15582155;5101;3502;;;;
CT;42;22;Cheap-RES;2.31;2.4;0.000;0.000;0.000;2.427;5.3;5.5;1.1;9.5;36.2;68.8;7.1;84.2;105.0;7.1;23.1;-0.1;0.0;0.0;27.7;20.5;-5.4;-0.5;15.5;171.4;404.2;-13.171;-0.693;13.818;0;57.8;3067.409;550.2411353;2517.168;50.19890955;355.0609259;7.551827203;2517.167936;2490.450108;26.71782782;4818;2627;;;;
HT_3500;43;126;Cheap-RES;2.35;2.4;0.734;0.000;0.000;2.463;2.9;7.5;1.1;9.8;23.5;70.8;7.1;84.2;104.9;9.0;28.3;-0.2;0.0;0.0;36.4;27.9;-6.6;-0.7;10.3;171.2;403.7;-15.863;0.279;15.519;0;67.3;3076.910;551.6381489;2525.272;51.59592318;344.8423288;15.65620977;2525.272318;2490.450108;34.82221038;4132;3500;;;;
HT_3800;44;276;Cheap-RES;2.37;2.4;0.538;0.000;0.000;2.491;2.4;7.7;1.2;10.0;19.8;67.1;7.1;84.4;104.9;5.9;29.9;-0.1;0.0;0.0;23.0;27.7;-5.6;-0.5;4.2;171.1;403.5;-17.232;0.753;16.409;0;48.8;3058.431;540.1963965;2518.234;40.15417082;335.6494322;8.618079198;2518.234188;2490.450108;27.78407981;4086;3800;;;;
HT_4000;45;376;Cheap-RES;2.38;2.4;0.363;0.000;0.000;2.500;2.7;7.4;1.2;10.1;21.6;62.9;7.1;84.6;104.9;4.7;29.3;-0.1;0.0;0.0;18.0;25.8;-5.1;-0.4;1.2;171.1;403.5;-16.982;0.675;16.240;0;39.5;3049.144;533.5191316;2515.625;33.47690594;332.8762609;6.008922086;2515.625031;2490.450108;25.1749227;4133;3873;;;;
