Hour;EOM_price;EOM_price_CT;EOM_price_QT;EOM_price_FP;EOM_price_CfD;H2_price;H2_price_CfD;H2_price_CT;H2_price_QT;H2_price_FP
79;137.3089169;136.8270987;136.5959108;136.7670566;136.758667;88.13932579;87.91571168;87.87450457;87.78297484;87.90426353
80;137.3089166;136.8270982;136.5959104;136.7670478;136.7586669;88.13932579;87.91571168;87.87450457;87.78297484;87.90426353
81;137.3089164;136.8270972;136.5959103;136.7670422;136.7586631;88.13932579;87.91571168;87.87450457;87.78297484;87.90426353
82;137.3089163;136.8270942;136.5959073;136.7670406;136.758657;88.13932579;87.91571168;87.87450457;87.78297484;87.90426353
83;137.3089159;136.8270915;136.5959037;136.7670406;136.7586544;88.13932579;87.91571168;87.87450457;87.78297484;87.90426353
84;137.3089145;136.8270879;136.5959035;136.7670379;136.7586485;88.13932579;87.91571168;87.87450457;87.78297484;87.90426353
85;137.3089143;136.827085;136.5959033;136.7670343;136.7586476;88.13932579;87.91571168;87.87450457;87.78297484;87.90426353
86;137.3089132;136.827083;136.5958976;136.767031;136.7586452;88.13932579;87.91571168;87.87450457;87.78297484;87.90426353
87;137.3089131;136.8270827;136.5958944;136.7670296;136.7586413;88.13932579;87.91571168;87.87450457;87.78297484;87.90426353
88;137.3089119;136.8270827;136.5958927;136.7670271;136.7586233;88.13932579;87.91571168;87.87450457;87.78297484;87.90426353
89;137.3089114;136.8270792;136.5958918;136.7670258;136.7585966;88.13932579;87.91571168;87.87450457;87.78297484;87.90426353
90;137.3089111;136.8270783;136.5958918;136.7670213;136.7585774;88.13932579;87.91571168;87.87450457;87.78297484;87.90426353
91;137.3089106;136.8270764;136.5958905;136.7670136;136.7585652;88.13932579;87.91571168;87.87450457;87.78297484;87.90426353
92;137.3089105;136.8270756;136.5958863;136.7670127;136.7585561;88.13932579;87.91571168;87.87450457;87.78297484;87.90426353
93;137.3089103;136.8270748;136.5958786;136.7670108;136.7585331;88.13932579;87.91571168;87.87450457;87.78297484;87.90426353
94;137.3089099;136.8270745;136.5958749;136.7670092;136.7585321;88.13932579;87.91571168;87.87450457;87.78297484;87.90426353
95;137.3089089;136.8270734;136.5958748;136.767009;136.7584895;88.13932579;87.91571168;87.87450457;87.78297484;87.90426353
96;137.3089071;136.8270709;136.5958718;136.7670088;136.7584894;88.13932579;87.91571168;87.87450457;87.78297484;87.90426353
97;137.3089036;136.8270693;136.5958702;136.7670022;136.7584672;88.13932383;87.91483188;87.87449232;87.78259666;87.90426325
98;137.3089005;136.8270685;136.5958685;136.7669929;136.7584195;88.13932383;87.91483188;87.87449232;87.78259666;87.90426325
99;137.3088977;136.8270678;136.5958667;136.7669888;136.7584155;88.13932383;87.91483188;87.87449232;87.78259666;87.90426325
100;137.3088926;136.8270675;136.5958653;136.7669837;136.7584141;88.13932383;87.91483188;87.87449232;87.78259666;87.90426325
