2030;id;scenario;sensetivity;H2_price_2030;H2_price_2040;H2_premium_2030;H2_FP_2030;H2_SP_2030;H2_RP_2030;PtH_PROD_base_2030;PtH_PROD_peak_2030;SMRCCS_PROD_2030;IMPORT_2030;PtH_CAP_base_2030;PtH_CAP_peak_2030;SMRCCS_CAP_2030;EOM_price_2030;EOM_price_2040;WIND_CAP_2030;SOLAR_CAP_2030;GAS_CAP_2030;COAL_CAP_2030;NUCL_CAP_2030;WIND_PROD_2030;SOLAR_PROD_2030;GAS_PROD_2030;COAL_PROD_2030;NUCL_PROD_2030;ETS_price_2030;ETS_price_2040;PS_emmisions;H2S_emissions;IND_emissions;cumulative_emissions;DIFF_PROD;TOT_PROD;H2_PROD;D_CUM;Increase_elek;H2_PROD_Twh;ERROR;residential_demand;Demand_2030;Difference;PtH_base_H;PtH_peak;;;;
CT;36;22;low-natural-gas-price;1.93;2.2;0.000;0.000;0.000;2.030;3.1;4.3;6.6;6.0;22.7;82.3;33.5;83.3;102.9;28.9;8.0;-3.4;0.0;0.0;89.3;9.9;-17.6;-0.5;21.6;158.5;411.0;-42.560;-1.590;44.150;0;102.8;3042.182;384.8000187;2657.382;-64.1718716;245.4574174;166.9321046;2657.382213;2490.450108;166.9321046;4499;1742;;;;
HT_3500;37;126;low-natural-gas-price;1.62;2.2;2.085;0.000;0.000;1.777;2.0;8.0;5.1;4.9;19.0;75.3;31.0;79.3;102.8;129.6;84.1;-11.1;0.0;0.0;254.6;86.6;-77.9;-1.9;10.5;157.5;408.5;-91.933;6.092;85.833;0;271.9;3211.326;534.1144569;2677.212;85.14256656;329.9642191;186.7618024;2677.21191;2490.450108;186.7618024;3500;3500;;;;
HT_3800;38;276;low-natural-gas-price;1.64;2.2;2.084;0.000;0.000;1.789;1.9;8.1;5.1;4.9;16.6;70.3;30.8;79.6;102.9;137.7;89.0;-9.7;0.0;0.0;258.0;88.9;-81.8;-2.1;3.6;157.3;407.9;-97.874;7.760;90.007;0;266.6;3205.999;535.0097509;2670.989;86.03786059;329.9956875;180.5386796;2670.988788;2490.450108;180.5386796;3800;3799;;;;
HT_4000;39;376;low-natural-gas-price;1.64;2.2;2.014;0.000;0.000;1.791;3.5;6.5;5.1;4.9;28.7;58.1;30.9;79.7;102.8;130.6;86.6;-10.9;0.0;0.0;244.0;87.3;-78.5;-2.0;3.3;157.5;408.6;-88.320;6.890;81.438;0;254.1;3193.504;522.6347388;2670.870;73.6628485;329.9605997;180.419481;2670.869589;2490.450108;180.419481;4000;3703;;;;
QT;40;76;low-natural-gas-price;1.58;2.2;2.030;0.000;0.000;1.748;5.6;4.4;5.2;4.8;38.7;45.5;31.1;80.3;102.8;127.0;80.1;-9.7;0.0;0.0;219.4;83.6;-76.2;-2.0;0.5;157.7;409.0;-76.155;6.207;69.813;0;225.3;3164.700;505.9260553;2658.774;56.95416496;329.9880804;168.3238813;2658.773989;2490.450108;168.3238813;4780;3187;;;;
REF;41;1;Cheap-RES;2.55;2.4;0.000;0.000;0.000;2.623;3.2;5.3;1.3;10.0;21.4;51.4;7.2;84.1;105.0;1076.264;438.922;98.152;23.072;47.088;1928.480;486.032;169.572;4.536;347.473;155.9;404.5;3597.298;509.610;15158.899;19266;2936.1;2936.094;445.6165587;2490.477;-3.355331599;282.5440785;;2490.477158;2490.450108;0.027050167;4965;3432;;;;
CT;42;22;Cheap-RES;2.27;2.4;0.000;0.000;0.000;2.386;5.0;5.0;1.1;8.8;36.2;68.8;7.2;83.0;105.0;18.7;23.1;-0.1;0.0;0.0;54.3;19.9;-11.1;-1.2;12.6;155.8;404.2;-13.171;-0.693;13.818;0;74.6;3014.037;509.0842649;2504.952;60.11237454;328.9060915;14.50223718;2504.952345;2490.450108;14.50223718;4534;2395;;;;
HT_3500;43;126;Cheap-RES;2.24;2.4;1.036;0.000;0.000;2.366;2.5;7.5;1.1;8.8;23.5;70.8;7.2;82.0;104.9;40.1;28.3;-0.1;0.0;0.0;91.4;22.3;-20.8;-2.1;8.5;155.6;403.7;-15.863;0.279;15.519;0;99.1;3038.515;530.414251;2508.101;81.44236064;329.9816627;17.65041263;2508.100521;2490.450108;17.65041263;3500;3500;;;;
HT_3800;44;276;Cheap-RES;2.20;2.4;1.136;0.000;0.000;2.341;2.3;7.7;1.1;8.8;19.8;67.1;7.2;82.0;104.9;51.7;29.9;-0.1;0.0;0.0;104.7;21.7;-25.8;-2.6;1.7;155.6;403.5;-17.232;0.753;16.409;0;99.8;3039.225;532.0998822;2507.125;83.12799186;329.9876021;16.67511536;2507.125223;2490.450108;16.67511536;3800;3800;;;;
HT_4000;45;376;Cheap-RES;2.18;2.4;1.248;0.000;0.000;2.326;2.6;7.4;1.1;8.7;21.6;62.9;7.2;82.2;104.9;55.1;29.3;-0.1;0.0;0.0;106.5;19.8;-27.1;-2.7;-1.7;155.6;403.5;-16.982;0.675;16.240;0;94.7;3034.172;529.3883297;2504.783;80.41643937;329.9911514;14.33330676;2504.783415;2490.450108;14.33330676;4000;3872;;;;
QT;46;76;Cheap-RES;2.13;2.4;1.297;0.000;0.000;2.294;5.3;4.7;1.1;8.7;35.2;46.4;7.2;82.7;104.9;53.1;20.5;0.0;0.0;0.0;81.0;16.3;-25.4;-2.6;-6.9;155.4;403.1;-10.296;1.301;8.886;0;62.4;3001.847;508.0068628;2493.840;59.03497253;329.9870505;3.38975599;2493.839864;2490.450108;3.38975599;5003;3313;;;;
REF;47;1;expensive-RES;2.53;2.3;0.000;0.000;0.000;2.606;3.2;5.6;1.3;9.8;20.8;53.1;7.2;83.9;100.5;1077.369;445.250;98.119;23.072;47.088;1931.531;492.938;168.280;4.436;347.710;;404.1;3567.322;513.640;15184.842;19266;2944.9;2944.895;454.4311267;2490.464;5.45923634;287.5204266;;2490.464017;2490.450108;0.013908885;4991;3455;;;;
CT;48;22;expensive-RES;2.26;2.3;0.000;0.000;0.000;2.379;5.0;5.0;1.1;8.7;36.1;68.9;7.1;82.7;100.5;8.9;30.8;0.0;0.0;0.0;39.8;27.4;-7.5;-0.7;12.3;155.6;403.6;-12.491;0.042;12.365;0;71.3;3010.762;512.6094925;2498.153;63.63760223;331.1339436;7.70275096;2498.152859;2490.450108;7.70275096;4568;2412;;;;
HT_3500;49;126;expensive-RES;2.26;2.3;0.944;0.000;0.000;2.375;2.5;7.5;1.1;8.8;23.6;70.7;7.2;82.0;100.5;32.6;29.5;-0.1;0.0;0.0;80.5;23.3;-17.6;-1.8;7.8;155.5;403.3;-14.386;0.316;13.978;0;92.3;3031.687;530.3015088;2501.386;81.32961847;329.9921337;10.93562527;2501.385733;2490.450108;10.93562527;3500;3500;;;;
HT_3800;50;276;expensive-RES;2.21;2.3;1.005;0.000;0.000;2.346;2.2;7.8;1.1;8.8;18.9;67.9;7.2;81.8;100.5;42.9;32.9;-0.1;0.0;0.0;90.7;23.9;-22.2;-2.2;1.3;155.4;403.1;-17.151;0.852;16.210;0;91.5;3030.949;532.8149746;2498.134;83.84308425;329.9702494;7.683479478;2498.133587;2490.450108;7.683479478;3800;3800;;;;
HT_4000;51;376;expensive-RES;2.19;2.3;1.183;0.000;0.000;2.329;2.5;7.5;1.1;8.7;20.3;64.1;7.2;81.9;100.5;49.3;29.7;-0.1;0.0;0.0;96.9;19.5;-24.6;-2.5;-2.2;155.4;403.1;-16.968;0.770;16.099;0;87.2;3026.640;530.6521661;2495.988;81.68027581;329.9820665;5.53742884;2495.987537;2490.450108;5.53742884;4000;3881;;;;
QT;52;76;expensive-RES;2.13;2.3;1.274;0.000;0.000;2.295;5.1;4.9;1.1;8.7;33.4;48.1;7.2;82.6;100.4;49.1;19.2;0.1;0.0;0.0;73.8;14.8;-23.4;-2.4;-7.2;155.3;402.9;-10.216;1.388;8.743;0;55.6;2994.974;509.9392229;2485.035;60.96733259;329.9855031;-5.415399706;2485.034708;2490.450108;-5.415399706;5028;3363;;;;
